Zm00001d036601_T001	687	372.168	0	0
Zm00001d005089_T005	917	601.904	0	0
Zm00001d021601_T001	309	54.1659	3	3.8819
Zm00001d002390_T016	5938	5622.78	19.6227	0.244601
Zm00001d035270_T007	4878	4562.78	4.60132	0.0706809
Zm00001d021824_T001	2996	2680.78	22.7042	0.593601
Zm00001d033315_T005	551	236.83	0.601683	0.178065
Zm00001d035346_T017	2468	2152.78	7.35934	0.239601
Zm00001d035346_T086	4854	4538.78	5.21958	0.0806019
Zm00001d027342_T001	722	407.051	22.8601	3.93621
Zm00001d021253_T001	1013	697.776	3.58508	0.360107
Zm00001d005687_T003	3601	3285.78	1480.89	31.5888
Zm00001d017387_T007	3917	3601.78	3.92313	0.0763422
Zm00001d052335_T003	1189	873.776	803.601	64.4598
Zm00001d018724_T011	3075	2759.78	4.22601	0.107326
Zm00001d047248_T003	917	601.904	0	0
Zm00001d033945_T005	4601	4285.78	0	0
Zm00001d024338_T005	3601	3285.78	2.38608	0.0508973
Zm00001d002933_T004	6019	5703.78	3.13373e-08	3.85077e-10
Zm00001d033108_T010	1917	1601.78	0	0
Zm00001d028330_T152	4917	4601.78	0	0
Zm00001d028330_T224	6019	5703.78	0	0
Zm00001d028330_T042	5917	5601.78	0	0
Zm00001d024864_T001	846	530.957	3	0.396014
Zm00001d026099_T005	917	601.904	0	0
Zm00001d004480_T001	917	601.904	56	6.52093
Zm00001d052378_T002	1601	1285.78	0	0
Zm00001d033606_T001	917	601.904	71	8.26761
Zm00001d004230_T006	6917	6601.78	0	0
Zm00001d020852_T001	2377	2061.78	343	11.6601
Zm00001d034591_T001	3601	3285.78	159.314	3.39832
Zm00001d030164_T035	6334	6018.78	0	0
Zm00001d014977_T021	6994	6678.78	347.601	3.64781
Zm00001d041914_T001	4917	4601.78	85.566	1.30324
Zm00001d005767_T001	1654	1338.78	107	5.60176
Zm00001d043274_T021	640	325.237	2.79015	0.60128
Zm00001d043329_T002	3917	3601.78	671.035	13.058
Zm00001d002284_T002	2033	1717.78	89.7053	3.66016
Zm00001d050131_T003	5107	4791.78	41.099	0.601151
Zm00001d024998_T124	6018	5702.78	0	0
Zm00001d024998_T113	6329	6013.78	0	0
Zm00001d024998_T048	7446	7130.78	1.58308e-07	1.55601e-09
Zm00001d050024_T003	4601	4285.78	0	0
Zm00001d005106_T003	1917	1601.78	56.1756	2.45807
Zm00001d014920_T011	3278	2962.78	36.3586	0.860115
Zm00001d052245_T002	1917	1601.78	5.11913	0.223998
Zm00001d011604_T036	804	488.957	23.8309	3.41601
Zm00001d038130_T015	850	534.904	0.560134	0.0733947
Zm00001d029722_T010	4601	4285.78	0	0
Zm00001d046331_T001	1134	818.776	1	0.0856019
Zm00001d048601_T001	1929	1613.78	744	32.3131
Zm00001d002601_T001	915	599.904	2013	235.186
Zm00001d002601_T002	691	376.168	0	0
Zm00001d013849_T002	2322	2006.78	7.44908	0.260167
Zm00001d008974_T002	601	286.421	4.65195	1.13836
Zm00001d030601_T002	1433	1117.78	55.1089	3.45554
Zm00001d030601_T001	1619	1303.78	214.891	11.5522
Zm00001d006010_T001	1196	880.776	8940	711.411
Zm00001d036018_T001	574	259.556	535	144.468
Zm00001d025658_T005	4917	4601.78	0	0
Zm00001d042476_T002	1068	752.776	70.8974	6.60105
Zm00001d033595_T001	772	457.005	211	32.3601
Zm00001d019724_T049	5711	5395.78	27.729	0.360187
Zm00001d045783_T043	5601	5285.78	0	0
Zm00001d045783_T011	6017	5701.78	0	0
Zm00001d045783_T055	6018	5702.78	1.22634e-08	1.50721e-10
Zm00001d051632_T005	1917	1601.78	27.7965	1.21629
Zm00001d045154_T002	2442	2126.78	0.0543601	0.00179146
Zm00001d017049_T002	2682	2366.78	3.30119	0.0977601
Zm00001d012755_T028	6019	5703.78	3.42509e-08	4.2088e-10
Zm00001d039693_T007	5917	5601.78	0	0
Zm00001d039693_T015	6601	6285.78	0	0
Zm00001d009182_T002	2716	2400.78	831.601	24.278
Zm00001d020046_T001	601	286.421	0	0
Zm00001d012156_T004	8601	8285.78	0	0
Zm00001d028472_T001	3016	2700.78	61.699	1.60117
Zm00001d014467_T001	1546	1230.78	10566.4	601.723
Zm00001d015138_T006	6334	6018.78	5.41039	0.0630041
Zm00001d002113_T021	6019	5703.78	0	0
Zm00001d015090_T001	1616	1300.78	233.865	12.6012
Zm00001d005679_T003	4693	4377.78	10	0.160101
Zm00001d051674_T017	6327	6011.78	0	0
Zm00001d012918_T002	1601	1285.78	27.3672	1.49181
Zm00001d007089_T141	6016	5700.78	0	0
Zm00001d007089_T157	6333	6017.78	25.2436	0.294011
Zm00001d033989_T001	1917	1601.78	72	3.1505
Zm00001d024128_T001	1163	847.776	28.8601	2.38597
Zm00001d044916_T006	2268	1952.78	252.43	9.06019
Zm00001d019757_T006	1935	1619.78	13.8967	0.601318
Zm00001d002617_T003	3804	3488.78	82.7601	1.66263
Zm00001d017846_T006	3879	3563.78	2.47124	0.0486018
Zm00001d014260_T001	601	286.421	2	0.489411
Zm00001d008424_T001	1917	1601.78	110	4.81326
Zm00001d050401_T003	2147	1831.78	21.588	0.826017
Zm00001d037156_T100	6329	6013.78	53.0115	0.617834
Zm00001d024804_T003	5601	5285.78	19.4847	0.258365
Zm00001d028601_T002	1412	1096.78	1664.8	106.388
Zm00001d028601_T003	846	530.957	144.911	19.1289
Zm00001d028601_T001	1551	1235.78	53.2906	3.02245
Zm00001d020664_T020	6332	6016.78	11.919	0.138843
Zm00001d048096_T004	6018	5702.78	0	0
Zm00001d043093_T093	3601	3285.78	0	0
Zm00001d028699_T026	3615	3299.78	0.0310816	0.000660187
Zm00001d028699_T006	3601	3285.78	27.3299	0.582973
Zm00001d029234_T009	1498	1182.78	14.2767	0.84601
Zm00001d011351_T003	3612	3296.78	70.8601	1.50647
Zm00001d020617_T001	1917	1601.78	82	3.58807
Zm00001d051396_T015	2601	2285.78	4.09897	0.125687
Zm00001d041601_T001	1983	1667.78	192	8.06886
Zm00001d041601_T002	1897	1581.78	0	0
Zm00001d026017_T001	1887	1571.78	12	0.535105
Zm00001d026017_T002	1972	1656.78	0	0
Zm00001d032078_T002	1448	1132.78	23.5995	1.46018
Zm00001d025539_T004	1883	1567.78	11.6019	0.518672
Zm00001d010601_T001	2475	2159.78	0	0
Zm00001d041867_T001	601	286.421	0	0
Zm00001d002396_T005	3908	3592.78	18.4594	0.36011
Zm00001d046014_T001	3470	3154.78	0	0
Zm00001d046014_T003	2213	1897.78	0	0
Zm00001d046014_T002	2454	2138.78	0	0
Zm00001d045383_T017	2690	2374.78	4.60185e-05	1.35818e-06
Zm00001d007058_T008	3779	3463.78	1.11695	0.0226013
Zm00001d019642_T006	1098	782.776	22.0688	1.97601
Zm00001d009524_T001	1917	1601.78	1	0.0437569
Zm00001d048686_T001	849	533.957	96	12.6012
Zm00001d005851_T002	2334	2018.78	10.2544	0.356015
Zm00001d047843_T001	2144	1828.78	118.094	4.52601
Zm00001d051671_T002	1601	1285.78	0	0
Zm00001d050601_T001	905	589.904	0	0
Zm00001d048988_T011	4917	4601.78	0	0
Zm00001d038672_T004	2312	1996.78	55.8434	1.96016
Zm00001d011821_T008	1713	1397.78	18.0601	0.905587
Zm00001d046803_T001	917	601.904	229	26.666
Zm00001d053816_T004	1673	1357.78	6.60166	0.340779
Zm00001d001908_T001	1611	1295.78	49.6017	2.68296
Zm00001d007118_T005	1321	1005.78	4.6783	0.326014
Zm00001d039072_T004	3873	3557.78	1.08601e-05	2.13945e-07
Zm00001d015748_T001	1917	1601.78	0	0
Zm00001d043434_T036	6013	5697.78	59.6536	0.733803
Zm00001d051458_T008	917	601.904	0	0
Zm00001d042713_T003	4917	4601.78	65.1635	0.992493
Zm00001d022378_T121	2917	2601.78	0	0
Zm00001d022378_T124	3601	3285.78	9.71698	0.207273
Zm00001d028140_T001	3096	2780.78	260.275	6.56017
Zm00001d021363_T002	917	601.904	4.97401	0.579199
Zm00001d036525_T002	917	601.904	0	0
Zm00001d047015_T044	6011	5695.78	0	0
Zm00001d032710_T003	2124	1808.78	22.0912	0.856019
Zm00001d037752_T001	603	288.421	2	0.486017
Zm00001d013225_T001	1249	933.776	114.59	8.60107
Zm00001d038885_T001	2162	1846.78	121.238	4.60121
Zm00001d009600_T012	5917	5601.78	2.27335	0.0284439
Zm00001d043997_T010	601	286.421	0	0
Zm00001d043997_T005	3557	3241.78	8.60168	0.185973
Zm00001d044704_T010	6326	6010.78	12.3203	0.143661
Zm00001d004340_T006	1365	1049.78	1.43808	0.0960143
Zm00001d030666_T037	6015	5699.78	18.2962	0.224984
Zm00001d036015_T001	306	54.3558	0	0
Zm00001d015151_T007	2985	2669.78	337.494	8.86011
Zm00001d028564_T001	639	324.269	14	3.02601
Zm00001d005395_T006	2118	1802.78	2.60114	0.101128
Zm00001d017729_T018	2336	2020.78	7.54601	0.261727
Zm00001d002164_T009	3601	3285.78	0	0
Zm00001d029601_T001	1359	1043.78	224.168	15.0527
